app,bundle_id,app_bundle,app_bundle_kb,cache_like,cache_like_kb,support_container,support_container_kb,total_related,total_related_kb,candidate_count,ambiguous_path_count,ambiguous_paths,path,matched_library_paths
Google Chrome,com.google.Chrome,1.3 GiB,1406212,4.9 GiB,5124192,6.5 GiB,6842352,11.4 GiB,11966544,2,0,,/Applications/Google Chrome.app,/Users/yaniv/Library/Application Support/Google/Chrome; /Users/yaniv/Library/Caches/Google/Chrome; /Users/yaniv/Library/Application Support/Google/Chrome/Default/Service Worker/CacheStorage; /Users/yaniv/Library/Application Support/Google/Chrome/Profile 1/Service Worker/CacheStorage; /Users/yaniv/Library/Application Support/Google/Chrome/component_crx_cache; /Users/yaniv/Library/Application Support/Google/Chrome/Default/Service Worker/ScriptCache; /Users/yaniv/Library/Application Support/Google/Chrome/Profile 1/Service Worker/ScriptCache; /Users/yaniv/Library/Application Support/Google/Chrome/extensions_crx_cache; +42 more
Rancher Desktop,io.rancherdesktop.app,1.4 GiB,1510808,401.7 MiB,411356,4.5 GiB,4767576,4.9 GiB,5178932,10,0,,/Applications/Rancher Desktop.app,/Users/yaniv/Library/Application Support/Rancher-Desktop; /Users/yaniv/Library/Application Support/rancher-desktop; /Users/yaniv/Library/Caches/Rancher-Desktop; /Users/yaniv/Library/Caches/rancher-desktop; /Users/yaniv/Library/Application Support/Rancher-Desktop/electron/Cache; /Users/yaniv/Library/Application Support/rancher-desktop/electron/Cache; /Users/yaniv/Library/Application Support/Rancher Desktop/GPUCache; /Users/yaniv/Library/Application Support/Rancher-Desktop/electron/Code Cache; +20 more
Google Chrome Canary,com.google.Chrome.canary,2.0 GiB,2091784,156.5 MiB,160228,4.4 GiB,4660648,4.6 GiB,4820876,2,0,,/Applications/Google Chrome Canary.app,/Users/yaniv/Library/Application Support/Google/Chrome Canary; /Users/yaniv/Library/Application Support/Google/Chrome Canary/component_crx_cache; /Users/yaniv/Library/Application Support/Google/Chrome Canary/extensions_crx_cache; /Users/yaniv/Library/Caches/Google/Chrome Canary; /Users/yaniv/Library/Application Support/Google/Chrome Canary/GraphiteDawnCache; /Users/yaniv/Library/Application Support/Google/Chrome Canary/Default/Service Worker/ScriptCache; /Users/yaniv/Library/Application Support/Google/Chrome Canary/GrShaderCache; /Users/yaniv/Library/Application Support/Google/Chrome Canary/ShaderCache; +9 more
Microsoft Edge,com.microsoft.edgemac,1.0 GiB,1091760,1.2 GiB,1288804,2.0 GiB,2110980,3.2 GiB,3399784,6,0,,/Applications/Microsoft Edge.app,/Users/yaniv/Library/Application Support/Microsoft/EdgeUpdater; /Users/yaniv/Library/Application Support/Microsoft Edge; /Users/yaniv/Library/Caches/Microsoft Edge; /Users/yaniv/Library/Application Support/Microsoft/EdgeUpdater/crx_cache; /Users/yaniv/Library/Application Support/Microsoft Edge/Default/WebStorage/12/CacheStorage; /Users/yaniv/Library/Application Support/Microsoft Edge/component_crx_cache; /Users/yaniv/Library/Application Support/Microsoft Edge/Default/Service Worker/CacheStorage; /Users/yaniv/Library/Application Support/Microsoft Edge/extensions_crx_cache; +17 more
Arc,company.thebrowser.Browser,824.3 MiB,844056,1.7 GiB,1776252,181.3 MiB,185608,1.9 GiB,1961860,6,0,,/Applications/Arc.app,/Users/yaniv/Library/Caches/Arc; /Users/yaniv/Library/Application Support/Arc/User Data/Default/Service Worker/CacheStorage; /Users/yaniv/Library/Application Support/Arc; /Users/yaniv/Library/Application Support/Arc/User Data/component_crx_cache; /Users/yaniv/Library/Application Support/Arc/User Data/Default/Service Worker/ScriptCache; /Users/yaniv/Library/Application Support/Arc/User Data/GraphiteDawnCache; /Users/yaniv/Library/Application Support/Arc/User Data/GrShaderCache; /Users/yaniv/Library/Application Support/Arc/User Data/extensions_crx_cache; +13 more
Code - Insiders,com.microsoft.VSCodeInsiders,622.2 MiB,637108,1.6 GiB,1675044,140.2 MiB,143604,1.7 GiB,1818648,4,0,,/Applications/Visual Studio Code - Insiders.app,/Users/yaniv/Library/Application Support/Code - Insiders/CachedExtensionVSIXs; /Users/yaniv/Library/Caches/com.microsoft.VSCodeInsiders.ShipIt; /Users/yaniv/Library/Application Support/Code - Insiders; /Users/yaniv/Library/Application Support/Code - Insiders/Cache; /Users/yaniv/Library/Application Support/Code - Insiders/CachedData; /Users/yaniv/Library/Application Support/Code - Insiders/WebStorage/2/CacheStorage; /Users/yaniv/Library/Application Support/Code - Insiders/GPUCache; /Users/yaniv/Library/Application Support/Code - Insiders/WebStorage/1/CacheStorage; +11 more
Brave Browser,com.brave.Browser,385.2 MiB,394484,417.9 MiB,427924,1.3 GiB,1313012,1.7 GiB,1740936,4,0,,/Applications/Brave Browser.app,/Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser; /Users/yaniv/Library/Caches/BraveSoftware/Brave-Browser; /Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/extensions_crx_cache; /Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/Default/Service Worker/ScriptCache; /Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/Default/Service Worker/CacheStorage; /Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/component_crx_cache; /Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/Profile 1/Service Worker/ScriptCache; /Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/GrShaderCache; +18 more
Code,com.microsoft.VSCode,624.8 MiB,639764,1.3 GiB,1346628,19.8 MiB,20268,1.3 GiB,1366896,4,0,,/Applications/Visual Studio Code.app,/Users/yaniv/Library/Caches/com.microsoft.VSCode.ShipIt; /Users/yaniv/Library/Application Support/Code/CachedExtensionVSIXs; /Users/yaniv/Library/Application Support/Code/Cache; /Users/yaniv/Library/Application Support/Code/CachedData; /Users/yaniv/Library/Application Support/Code/WebStorage/5/CacheStorage; /Users/yaniv/Library/Application Support/Code; /Users/yaniv/Library/Application Support/Code/WebStorage/6/CacheStorage; /Users/yaniv/Library/Application Support/Code/GPUCache; +15 more
Firefox,org.mozilla.firefox,477.2 MiB,488616,788.7 MiB,807672,152.1 MiB,155768,940.9 MiB,963440,4,0,,/Applications/Firefox.app,/Users/yaniv/Library/Caches/Firefox; /Users/yaniv/Library/Caches/firefox; /Users/yaniv/Library/Application Support/Firefox; /Users/yaniv/Library/Application Support/firefox; /Users/yaniv/Library/Application Support/Firefox/Crash Reports; /Users/yaniv/Library/Application Support/firefox/Crash Reports
Comet,ai.perplexity.comet,0 B,0,348.2 MiB,356592,581.9 MiB,595844,930.1 MiB,952436,2,0,,/Applications/Comet.app,/Users/yaniv/Library/Application Support/Comet; /Users/yaniv/Library/Caches/Comet; /Users/yaniv/Library/Application Support/Comet/extensions_crx_cache; /Users/yaniv/Library/Application Support/Comet/component_crx_cache; /Users/yaniv/Library/Application Support/Comet/Default/Service Worker/CacheStorage; /Users/yaniv/Library/Application Support/Comet/Default/Service Worker/ScriptCache; /Users/yaniv/Library/Application Support/Comet/GraphiteDawnCache; /Users/yaniv/Library/Application Support/Comet/Crashpad; +6 more
Codex,com.openai.codex,790.7 MiB,809688,800.1 MiB,819292,888.0 KiB,888,801.0 MiB,820180,4,0,,/Applications/Codex.app,/Users/yaniv/Library/Caches/com.openai.codex; /Users/yaniv/Library/Application Support/Codex/Cache; /Users/yaniv/Library/Application Support/Codex; /Users/yaniv/Library/Application Support/Codex/GPUCache; /Users/yaniv/Library/Application Support/Codex/DawnGraphiteCache; /Users/yaniv/Library/Application Support/Codex/DawnWebGPUCache; /Users/yaniv/Library/HTTPStorages/com.openai.codex; /Users/yaniv/Library/Logs/com.openai.codex; +3 more
Dia,company.thebrowser.dia,1.2 GiB,1293756,265.0 MiB,271344,94.6 MiB,96844,359.6 MiB,368188,5,0,,/Applications/Dia.app,/Users/yaniv/Library/Caches/company.thebrowser.dia; /Users/yaniv/Library/Application Support/Dia; /Users/yaniv/Library/Application Support/Dia/User Data/component_crx_cache; /Users/yaniv/Library/Caches/Dia; /Users/yaniv/Library/Application Support/Dia/User Data/Default/Service Worker/CacheStorage; /Users/yaniv/Library/Application Support/Dia/User Data/GraphiteDawnCache; /Users/yaniv/Library/Application Support/Dia/User Data/GrShaderCache; /Users/yaniv/Library/Application Support/Dia/User Data/Default/Service Worker/ScriptCache; +9 more
zoom.us,us.zoom.xos,772.3 MiB,790880,12.3 MiB,12596,331.1 MiB,338996,343.4 MiB,351592,5,0,,/Applications/zoom.us.app,/Users/yaniv/Library/Application Support/zoom.us; /Users/yaniv/Library/Caches/us.zoom.xos; /Users/yaniv/Library/Logs/zoom.us; /Users/yaniv/Library/WebKit/us.zoom.xos; /Users/yaniv/Library/HTTPStorages/us.zoom.xos
Opera,com.operasoftware.Opera,600.3 MiB,614664,221.3 MiB,226624,111.0 MiB,113704,332.4 MiB,340328,3,0,,/Applications/Opera.app,/Users/yaniv/Library/Caches/com.operasoftware.Opera; /Users/yaniv/Library/Application Support/com.operasoftware.Opera; /Users/yaniv/Library/Application Support/com.operasoftware.Opera/Default/Service Worker/CacheStorage; /Users/yaniv/Library/Application Support/com.operasoftware.Opera/component_crx_cache; /Users/yaniv/Library/Application Support/com.operasoftware.Opera/Default/Service Worker/ScriptCache; /Users/yaniv/Library/Application Support/com.operasoftware.Opera/GraphiteDawnCache; /Users/yaniv/Library/Application Support/com.operasoftware.Opera/GrShaderCache; /Users/yaniv/Library/Application Support/com.operasoftware.Opera/Default/GPUCache; +6 more
Telegram,ru.keepcoder.Telegram,298.6 MiB,305792,3.8 MiB,3936,108.9 MiB,111552,112.8 MiB,115488,4,0,,/Applications/Telegram.app,/Users/yaniv/Library/Containers/ru.keepcoder.Telegram; /Users/yaniv/Library/Containers/ru.keepcoder.Telegram/Data/Library/Caches; /Users/yaniv/Library/Containers/ru.keepcoder.Telegram/Data/Library/HTTPStorages
Microsoft Word,com.microsoft.Word,2.6 GiB,2740560,90.4 MiB,92616,15.1 MiB,15464,105.5 MiB,108080,4,0,,/Applications/Microsoft Word.app,/Users/yaniv/Library/Containers/com.microsoft.Word/Data/Library/Logs; /Users/yaniv/Library/Containers/com.microsoft.Word; /Users/yaniv/Library/Containers/com.microsoft.Word/Data/Library/Caches; /Users/yaniv/Library/Containers/com.microsoft.Word/Data/Library/Application Support/Microsoft/FontPreviewCache; /Users/yaniv/Library/Containers/com.microsoft.Word/Data/Library/HTTPStorages; /Users/yaniv/Library/Containers/com.microsoft.Word/Data/Library/Application Support/Microsoft/FontCache
Microsoft Outlook,com.microsoft.Outlook,2.7 GiB,2808240,95.1 MiB,97340,9.3 MiB,9512,104.3 MiB,106852,4,0,,/Applications/Microsoft Outlook.app,/Users/yaniv/Library/Containers/com.microsoft.Outlook/Data/Library/Logs; /Users/yaniv/Library/Containers/com.microsoft.Outlook; /Users/yaniv/Library/Containers/com.microsoft.Outlook/Data/Library/Application Support/Microsoft/FontPreviewCache; /Users/yaniv/Library/Containers/com.microsoft.Outlook/Data/Library/Caches; /Users/yaniv/Library/Containers/com.microsoft.Outlook/Data/Library/HTTPStorages; /Users/yaniv/Library/Containers/com.microsoft.Outlook/Data/Library/WebKit; /Users/yaniv/Library/Containers/com.microsoft.Outlook/Data/Library/Application Support/Microsoft/FontCache; /Users/yaniv/Library/Containers/com.microsoft.Outlook/Data/tmp/WebKit
Cursor,com.todesktop.230313mzl4w4u92,768.3 MiB,786768,49.9 MiB,51116,2.3 MiB,2392,52.3 MiB,53508,4,0,,/Applications/Cursor.app,/Users/yaniv/Library/Application Support/Cursor/CachedData; /Users/yaniv/Library/Application Support/Cursor/GPUCache; /Users/yaniv/Library/Application Support/Cursor/logs; /Users/yaniv/Library/Application Support/Cursor; /Users/yaniv/Library/Application Support/Cursor/CachedProfilesData; /Users/yaniv/Library/Application Support/Cursor/DawnWebGPUCache; /Users/yaniv/Library/Application Support/Cursor/DawnGraphiteCache; /Users/yaniv/Library/Caches/com.todesktop.230313mzl4w4u92; +6 more
Microsoft Excel,com.microsoft.Excel,2.5 GiB,2584348,36.9 MiB,37812,9.4 MiB,9592,46.3 MiB,47404,4,0,,/Applications/Microsoft Excel.app,/Users/yaniv/Library/Containers/com.microsoft.Excel/Data/Library/Logs; /Users/yaniv/Library/Containers/com.microsoft.Excel; /Users/yaniv/Library/Containers/com.microsoft.Excel/Data/Library/Caches; /Users/yaniv/Library/Containers/com.microsoft.Excel/Data/Library/Application Support/Microsoft/FontPreviewCache; /Users/yaniv/Library/Containers/com.microsoft.Excel/Data/Library/Application Support/Microsoft/FontCache; /Users/yaniv/Library/Containers/com.microsoft.Excel/Data/Library/HTTPStorages
OneDrive,com.microsoft.OneDrive,1.4 GiB,1452740,9.2 MiB,9472,31.5 MiB,32212,40.7 MiB,41684,3,0,,/Applications/OneDrive.app,/Users/yaniv/Library/Application Support/OneDrive; /Users/yaniv/Library/Logs/OneDrive; /Users/yaniv/Library/Caches/OneDrive
Slack,com.tinyspeck.slackmacgap,286.2 MiB,293036,17.5 MiB,17912,2.4 MiB,2476,19.9 MiB,20388,4,0,,/Applications/Slack.app,/Users/yaniv/Library/Application Support/Slack/logs; /Users/yaniv/Library/Application Support/Slack/GPUCache; /Users/yaniv/Library/Application Support/Slack; /Users/yaniv/Library/Application Support/Slack/Cache; /Users/yaniv/Library/Application Support/Slack/DawnGraphiteCache; /Users/yaniv/Library/Application Support/Slack/DawnCache; /Users/yaniv/Library/Application Support/Slack/DawnWebGPUCache; /Users/yaniv/Library/Caches/com.tinyspeck.slackmacgap; +6 more
ChatGPT,com.openai.chat,155.2 MiB,158920,10.5 MiB,10760,4.5 MiB,4600,15.0 MiB,15360,4,0,,/Applications/ChatGPT.app,/Users/yaniv/Library/Caches/com.openai.chat; /Users/yaniv/Library/Application Support/com.openai.chat; /Users/yaniv/Library/HTTPStorages/com.openai.chat
Oracle Unified Login,com.oraclecorp.int.UnifiedLogin,36.5 MiB,37412,12.0 MiB,12292,44.0 KiB,44,12.0 MiB,12336,4,0,,/Applications/Oracle Unified Login.app,/Users/yaniv/Library/Containers/com.oraclecorp.int.UnifiedLogin/Data/Library/Caches; /Users/yaniv/Library/Containers/com.oraclecorp.int.UnifiedLogin/Data/Library/Logs; /Users/yaniv/Library/Containers/com.oraclecorp.int.UnifiedLogin/Data/Library/WebKit; /Users/yaniv/Library/Containers/com.oraclecorp.int.UnifiedLogin/Data/Library/HTTPStorages; /Users/yaniv/Library/Containers/com.oraclecorp.int.UnifiedLogin
Sonos,com.sonos.macController2,106.7 MiB,109280,4.1 MiB,4184,0 B,0,4.1 MiB,4184,5,0,,/Applications/Sonos.app,/Users/yaniv/Library/Logs/Sonos; /Users/yaniv/Library/Caches/com.sonos.macController2; /Users/yaniv/Library/HTTPStorages/com.sonos.macController2; /Users/yaniv/Library/Saved Application State/com.sonos.macController2.savedState; /Users/yaniv/Library/Caches/SentryCrash/Sonos
LM Studio,ai.elementlabs.lmstudio,587.5 MiB,601576,3.0 MiB,3060,680.0 KiB,680,3.7 MiB,3740,2,0,,/Applications/LM Studio.app,/Users/yaniv/Library/Application Support/LM Studio/GPUCache; /Users/yaniv/Library/Application Support/LM Studio; /Users/yaniv/Library/Application Support/LM Studio/DawnGraphiteCache; /Users/yaniv/Library/Application Support/LM Studio/DawnWebGPUCache; /Users/yaniv/Library/Application Support/LM Studio/Cache; /Users/yaniv/Library/Logs/LM Studio; /Users/yaniv/Library/Application Support/LM Studio/Code Cache; /Users/yaniv/Library/Application Support/LM Studio/Shared Dictionary/cache; +1 more
iTerm2,com.googlecode.iterm2,134.2 MiB,137372,3.1 MiB,3164,440.0 KiB,440,3.5 MiB,3604,3,0,,/Applications/iTerm.app,/Users/yaniv/Library/HTTPStorages/com.googlecode.iterm2; /Users/yaniv/Library/Caches/com.googlecode.iterm2; /Users/yaniv/Library/Application Support/iTerm2
Windows App,com.microsoft.rdc.macos,235.5 MiB,241116,540.0 KiB,540,2.1 MiB,2180,2.7 MiB,2720,4,0,,/Applications/Windows App.app,/Users/yaniv/Library/Containers/com.microsoft.rdc.macos; /Users/yaniv/Library/Containers/com.microsoft.rdc.macos/Data/Library/Caches; /Users/yaniv/Library/Containers/com.microsoft.rdc.macos/Data/Library/HTTPStorages
Oracle Backup,com.electron.oraclebackup,681.0 MiB,697308,2.1 MiB,2196,72.0 KiB,72,2.2 MiB,2268,1,0,,/Applications/Oracle Backup.app,/Users/yaniv/Library/Application Support/Oracle Backup/Cache; /Users/yaniv/Library/Application Support/Oracle Backup/DawnCache; /Users/yaniv/Library/Application Support/Oracle Backup/GPUCache; /Users/yaniv/Library/Application Support/Oracle Backup; /Users/yaniv/Library/Application Support/Oracle Backup/Code Cache
Oracle Documents,hubdocuments.oracle.webcenter.app,177.2 MiB,181472,52.0 KiB,52,2.0 MiB,2024,2.0 MiB,2076,1,0,,/Applications/Oracle Documents.app,/Users/yaniv/Library/Application Support/Oracle/Oracle Documents; /Users/yaniv/Library/Application Support/Oracle/Oracle Documents/data/logs
OBS Studio,com.obsproject.obs-studio,435.6 MiB,446064,40.0 KiB,40,1.6 MiB,1688,1.7 MiB,1728,2,0,,/Applications/OBS.app,/Users/yaniv/Library/Application Support/OBS-Studio; /Users/yaniv/Library/Application Support/obs-studio; /Users/yaniv/Library/Application Support/OBS-Studio/logs; /Users/yaniv/Library/Application Support/obs-studio/logs
Commander One,com.eltima.cmd1.mas,54.6 MiB,55892,1.0 MiB,1068,64.0 KiB,64,1.1 MiB,1132,4,0,,/Applications/Commander One.app,/Users/yaniv/Library/Containers/com.eltima.cmd1.mas/Data/Library/Caches; /Users/yaniv/Library/Containers/com.eltima.cmd1.mas/Data/Library/HTTPStorages; /Users/yaniv/Library/Containers/com.eltima.cmd1.mas; /Users/yaniv/Library/Containers/com.eltima.cmd1.mas/Data/Library/Logs
Nudge,com.github.macadmins.Nudge,4.0 MiB,4088,824.0 KiB,824,252.0 KiB,252,1.1 MiB,1076,3,0,,/Applications/Utilities/Nudge.app,/Users/yaniv/Library/Caches/com.github.macadmins.Nudge; /Users/yaniv/Library/Application Support/com.github.macadmins.Nudge; /Users/yaniv/Library/HTTPStorages/com.github.macadmins.Nudge
Ghostty,com.mitchellh.ghostty,62.0 MiB,63484,968.0 KiB,968,4.0 KiB,4,972.0 KiB,972,4,0,,/Applications/Ghostty.app,/Users/yaniv/Library/WebKit/com.mitchellh.ghostty; /Users/yaniv/Library/Caches/com.mitchellh.ghostty; /Users/yaniv/Library/HTTPStorages/com.mitchellh.ghostty; /Users/yaniv/Library/Application Support/com.mitchellh.ghostty
F5 Endpoint Inspector,com.f5.epi,34.1 MiB,34968,12.0 KiB,12,500.0 KiB,500,512.0 KiB,512,2,0,,/Applications/F5 Endpoint Inspector.app,/Users/yaniv/Library/Application Support/F5 EPI; /Users/yaniv/Library/Saved Application State/com.f5.epi.savedState
Alfred,com.runningwithcrayons.Alfred,17.5 MiB,17932,0 B,0,392.0 KiB,392,392.0 KiB,392,2,0,,/Applications/Alfred 5.app,/Users/yaniv/Library/Application Support/Alfred
Warp,dev.warp.Warp-Stable,404.0 MiB,413676,4.0 KiB,4,176.0 KiB,176,180.0 KiB,180,3,0,,/Applications/Warp.app,/Users/yaniv/Library/Application Support/dev.warp.Warp-Stable; /Users/yaniv/Library/Caches/SentryCrash/Warp
DisplayLink Manager,com.displaylink.DisplayLinkUserAgent,16.8 MiB,17184,0 B,0,32.0 KiB,32,32.0 KiB,32,3,0,,/Applications/DisplayLink Manager.app,/Users/yaniv/Library/Containers/com.displaylink.DisplayLinkUserAgent
Microsoft PowerPoint,com.microsoft.Powerpoint,2.2 GiB,2259152,0 B,0,4.0 KiB,4,4.0 KiB,4,3,0,,/Applications/Microsoft PowerPoint.app,/Users/yaniv/Library/Containers/com.microsoft.Powerpoint
Claude,com.anthropic.claudefordesktop,564.4 MiB,577968,0 B,0,0 B,0,0 B,0,0,0,,/Applications/Claude.app,
CRAX Commander,pl.ewas.Crax,178.5 MiB,182764,0 B,0,0 B,0,0 B,0,0,0,,/Applications/CRAX Commander.app,
Gemini 2,com.macpaw.site.Gemini2,91.2 MiB,93344,0 B,0,0 B,0,0 B,0,0,0,,/Applications/Gemini 2.app,
Oracle Site Blocker,com.oraclecorp.int.OracleSiteBlocker,5.0 MiB,5152,0 B,0,0 B,0,0 B,0,0,0,,/Applications/Oracle Site Blocker.app,
Falcon,com.crowdstrike.falcon.App,81.3 MiB,83204,0 B,0,0 B,0,0 B,0,0,0,,/Applications/Falcon.app,
Microsoft OneNote,com.microsoft.onenote.mac,1.3 GiB,1367200,0 B,0,0 B,0,0 B,0,0,0,,/Applications/Microsoft OneNote.app,
Santa,com.google.santa,39.4 MiB,40324,0 B,0,0 B,0,0 B,0,0,0,,/Applications/Santa.app,
Ollama,com.electron.ollama,114.1 MiB,116812,0 B,0,0 B,0,0 B,0,1,0,,/Applications/Ollama.app,
Cisco Secure Client - Socket Filter,com.cisco.anyconnect.macos.acsock,3.4 MiB,3460,0 B,0,0 B,0,0 B,0,0,0,,/Applications/Cisco/Cisco Secure Client - Socket Filter.app,
Cisco Secure Client,com.cisco.secureclient.gui,15.4 MiB,15788,0 B,0,0 B,0,0 B,0,0,0,,/Applications/Cisco/Cisco Secure Client.app,
Uninstall Cisco Secure Client - DART,com.cisco.secureclient.dartuninstaller,408.0 KiB,408,0 B,0,0 B,0,0 B,0,0,0,,/Applications/Cisco/Uninstall Cisco Secure Client - DART.app,
Cisco Secure Client - DART,com.cisco.secureclient.dart,6.9 MiB,7064,0 B,0,0 B,0,0 B,0,0,0,,/Applications/Cisco/Cisco Secure Client - DART.app,
Uninstall Cisco Secure Client,com.cisco.secureclient.uninstaller,408.0 KiB,408,0 B,0,0 B,0,0 B,0,0,0,,/Applications/Cisco/Uninstall Cisco Secure Client.app,
MyHelp,com.oracle.ee.MyHelp,140.0 KiB,140,0 B,0,0 B,0,0 B,0,0,0,,/Applications/Oracle Tools/MyHelp.app,
My Login Profile (Stage),com.oracle.ee.My Login Profile (Stage),144.0 KiB,144,0 B,0,0 B,0,0 B,0,0,0,,/Applications/Oracle Tools/My Login Profile (Stage).app,
Printers,com.oracle.ee.Printers,152.0 KiB,152,0 B,0,0 B,0,0 B,0,0,0,,/Applications/Oracle Tools/Printers.app,
My Login Profile (Production),com.oracle.ee.My Login Profile (Production),144.0 KiB,144,0 B,0,0 B,0,0 B,0,0,0,,/Applications/Oracle Tools/My Login Profile (Production).app,
Endpoint Management Platform (EMP),com.oracle.ee.Endpoint Management Platform (EMP),160.0 KiB,160,0 B,0,0 B,0,0 B,0,0,0,,/Applications/Oracle Tools/Endpoint Management Platform (EMP).app,
MyDesktop,com.oracle.ee.MyDesktop,164.0 KiB,164,0 B,0,0 B,0,0 B,0,0,0,,/Applications/Oracle Tools/MyDesktop.app,
Claude Code URL Handler,com.anthropic.claude-code-url-handler,4.0 KiB,4,0 B,0,0 B,0,0 B,0,0,0,,/Users/yaniv/Applications/Claude Code URL Handler.app,
Postman,com.google.Chrome.app.Default-fhbjgbiflinjbdggehcddcbncdddomop,1.8 MiB,1888,0 B,0,0 B,0,0 B,0,0,0,,/Users/yaniv/Applications/Chrome Apps.localized/Postman.app,
Outlook (PWA),com.microsoft.edgemac.app.faolnafnngnfdaknnbpnkhgohbobgegn,2.5 MiB,2580,0 B,0,0 B,0,0 B,0,0,0,,/Users/yaniv/Applications/Edge Apps.localized/Outlook (PWA).app,
Postman,ai.perplexity.comet.app.Default-fhbjgbiflinjbdggehcddcbncdddomop,1.8 MiB,1888,0 B,0,0 B,0,0 B,0,0,0,,/Users/yaniv/Applications/Comet Apps.localized/Postman.app,
